smiles,TADF-likeness
Cc1ccc(-c2ccc(C#N)c(SCCC(=O)Nc3cccc(C)c3C)n2)cc1,58.93638992
COc1ccc(C=Cn2c(C)cc(=O)cc2C)cc1OCC(C)C,55.11868668
Cc1nc2n(C)c3ncn(Cc4ccccc4)c3c(=O)n2c1C=CC(C)C,55.53925705
O=C(COCc1ccccc1)Oc1ccc2ccccc2c1,57.44069672
O=C(NCC(c1ccccc1)N1CCCC1)c1nn(-c2ccccc2)c2c1CCC2,55.37162018
COC(=O)c1cccc2c(=O)c(C)c(C3(c4ccccc4)CCCC3)oc12,57.35055542
O=C(Cc1nc(-c2ccccc2F)no1)c1ccccc1,57.7792778
Cc1ccc(S(=O)(=O)Nc2cc(C(=O)N3CCN(C(c4ccccc4)c4ccccc4)CC3)ccc2C)cc1,58.35660934
CCC=C(C)C=C(Nc1ccc(OC)cc1)c1cc(C)cc(C)c1C,56.13587952
C=C(C)C1CC2(C1)CC(c1c(C(C)C)n(-c3ccc(F)cc3)c3cccc(F)c13)C2,58.28018188
CCCc1ccc(C(=O)NCCc2ccccc2C(=O)NCCN2CCc3cc(OC)c(OC)cc3C2)cc1,58.87259674
O=C(NCCc1cncn1Cc1ccccc1)c1ccc(-c2ccccn2)nc1,57.05670166
Cc1ccc(/C=N\NC(=O)CN(c2cc(C)cc(C)c2)S(=O)(=O)c2ccccc2)cc1,57.0953064
C/C(=C\c1ccccc1)C(=O)Nn1c(C2CCCCC2)nc2ccccc2c1=O,55.75698853
CCCCCCOc1ccc(/C=C/c2nc(-c3ccc(C)cc3)cs2)cc1,57.93632126
Cc1ccccc1CN1C(=O)/C(=C/c2ccc(C(=O)NCCN3CCCC3)cc2)Sc2ccccc21,55.33382797
C[C@H](c1ccc(-c2ccccc2)cc1)N(C(=O)C(c1ccccc1)c1ccccc1)[C@H](CCCN)C(N)=O,55.70372009
FC(F)(F)c1cccc(CN2CCCCc3ccccc32)c1,55.82183838
COc1ccc(-c2cc3ccc(N(C)C)cc3c(=O)[nH]2)cc1,56.16960907
COc1ccc(CCNC(=O)CCCSc2nnc(-c3ccccc3)n2-c2cccc(C)c2)cc1OC,59.48348999
